"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Surface_Sensitivity"	"Solution_Sensor"
47	5.276100039480000e-01	-5.601444036852824e-02	3.934289069146781e-01	-5.282439552082715e-01	-6.466454199928795e-02	1.012052857861010e-01	-1.847487708065028e+00	0.000000000000000e+00	
48	5.118399858470000e-01	-5.687408312908572e-02	3.979506125536703e-01	-5.325716610566621e-01	-5.881408340247826e-02	1.023210406109520e-01	-2.391351511563146e+00	0.000000000000000e+00	
49	4.960500001910000e-01	-5.767299480535527e-02	4.009247650356488e-01	-5.352183174880062e-01	-5.275891274101071e-02	1.030317263203218e-01	-4.611159349437854e-01	0.000000000000000e+00	
50	4.802699983120000e-01	-5.840831759526514e-02	4.047448479009399e-01	-5.387237531119563e-01	-4.675823370258322e-02	1.039593231563701e-01	4.922742175942701e+00	0.000000000000000e+00	
51	4.645099937920000e-01	-5.907829620765692e-02	4.127896236969293e-01	-5.466476063245878e-01	-4.127349416411437e-02	1.059674845078288e-01	1.053836032925185e+01	0.000000000000000e+00	
52	4.487800002100000e-01	-5.968114161705675e-02	4.263966829624554e-01	-5.600464463434376e-01	-3.617522982346490e-02	1.094754410432244e-01	9.518908471852013e+00	0.000000000000000e+00	
53	4.331099987030000e-01	-6.021438499361637e-02	4.420013055491243e-01	-5.750148251504611e-01	-2.951957893240873e-02	1.135745171291397e-01	3.121318389863271e+00	0.000000000000000e+00	
54	4.174999892710000e-01	-6.067668207934231e-02	4.544031388779238e-01	-5.866127975939347e-01	-2.180555639117493e-02	1.167226282662826e-01	-1.151718658082748e+00	0.000000000000000e+00	
55	4.019699990750000e-01	-6.106600248719519e-02	4.625155421721914e-01	-5.940120666357616e-01	-1.431506926145497e-02	1.187013307409499e-01	-2.110055746064373e+00	0.000000000000000e+00	
56	3.865399956700000e-01	-6.138044799896261e-02	4.694965127267635e-01	-6.003693529536114e-01	-7.234944582857446e-03	1.204304028364821e-01	-1.847257388077094e+00	0.000000000000000e+00	
57	3.712300062180000e-01	-6.161826065621069e-02	4.787015546787325e-01	-6.089370699104303e-01	1.117030447393556e-04	1.228205522561953e-01	-1.838655464044390e+00	0.000000000000000e+00	
58	3.560400009160000e-01	-6.177799896546327e-02	4.920232781800750e-01	-6.214587704175913e-01	8.064221557470356e-03	1.262654946259729e-01	-2.326416800113650e+00	0.000000000000000e+00	
59	3.409900069240000e-01	-6.185791932219944e-02	5.098560371590224e-01	-6.383012505872183e-01	1.666076872590409e-02	1.308520799706221e-01	-3.053977838926074e+00	0.000000000000000e+00	
60	3.261100053790000e-01	-6.185648100177647e-02	5.324454738118596e-01	-6.596887953771867e-01	2.576111003124277e-02	1.366107884902945e-01	-3.855689713144823e+00	0.000000000000000e+00	
61	3.113999962810000e-01	-6.177231182821812e-02	5.601679558733220e-01	-6.860136810128235e-01	3.545085087094716e-02	1.436836979092653e-01	-4.732493944632319e+00	0.000000000000000e+00	
62	2.968699932100000e-01	-6.160394734845962e-02	5.941456932496489e-01	-7.183717203092692e-01	4.592161634307503e-02	1.523361074946503e-01	-5.763457225553375e+00	0.000000000000000e+00	
63	2.825500071050000e-01	-6.135033326263618e-02	6.356885203665749e-01	-7.580338747766631e-01	5.749092130658336e-02	1.628845827318023e-01	-6.892022074924349e+00	0.000000000000000e+00	
64	2.684499919410000e-01	-6.101038749180542e-02	6.845354160307137e-01	-8.047235055913013e-01	7.070425551511680e-02	1.751787494182537e-01	-7.700217161354185e+00	0.000000000000000e+00	
65	2.545700073240000e-01	-6.058272813253259e-02	7.353621279420958e-01	-8.532456443398665e-01	8.580914927502618e-02	1.877868223271035e-01	-7.333898437357435e+00	0.000000000000000e+00	
66	2.409400045870000e-01	-6.006697653660904e-02	7.746770777039756e-01	-8.904979471315604e-01	1.023502500926840e-01	1.972703013391292e-01	-4.799479483227303e+00	0.000000000000000e+00	
67	2.275699973110000e-01	-5.946241624801741e-02	7.832206641532666e-01	-8.977499706350551e-01	1.184058559666473e-01	1.988912625653702e-01	1.441496501432951e-01	0.000000000000000e+00	
68	2.144699990750000e-01	-5.876841918892355e-02	7.462110400988098e-01	-8.605250515191293e-01	1.314130463894164e-01	1.891537210714550e-01	6.124595142590634e+00	0.000000000000000e+00	
69	2.016600072380000e-01	-5.798510759597150e-02	6.667156753504943e-01	-7.817037009017798e-01	1.399739192468465e-01	1.690836379495644e-01	1.037686207007775e+01	0.000000000000000e+00	
70	1.891400069000000e-01	-5.711157644069047e-02	5.699090565593351e-01	-6.856925657848061e-01	1.456376113202777e-01	1.450256194821647e-01	1.046776630389959e+01	0.000000000000000e+00	
71	1.769299954180000e-01	-5.614835979499130e-02	4.903951013169731e-01	-6.062705066778324e-01	1.526068321873225e-01	1.254854866303231e-01	6.322226838593631e+00	0.000000000000000e+00	
72	1.650400012730000e-01	-5.509557197132971e-02	4.500313933654476e-01	-5.648851692837737e-01	1.646624852404363e-01	1.156440414471158e-01	6.504750425831335e-01	0.000000000000000e+00	
73	1.534900069240000e-01	-5.395451949699866e-02	4.442389486975732e-01	-5.572023998405921e-01	1.822247723726656e-01	1.141963775382406e-01	-3.069992996858919e+00	0.000000000000000e+00	
