SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
33, 5.109527475613155e-03, 2.000146403086947e-01, -2.079136066652131e-01, -1.770449432147470e-02, 5.022065305176091e-02, 7.385200262070000e-01, -3.414603768812386e-02
34, -1.077842873810885e-03, 1.817965065260867e-01, -1.891080405774252e-01, -1.170096687609114e-02, 4.567377648005747e-02, 7.245299816130000e-01, -3.456389616353984e-02
35, -1.023592241822042e-03, 1.678603146112911e-01, -1.745920725692515e-01, -7.211759746891522e-03, 4.216564153352795e-02, 7.103199958800001e-01, -3.493666131713488e-02
36, 6.514897288958282e-04, 1.553647405635925e-01, -1.614620943631543e-01, -3.839584875860909e-03, 3.901521316858987e-02, 6.958900094030001e-01, -3.527354229967903e-02
37, 1.140797068879699e-03, 1.440441620891747e-01, -1.494937084252174e-01, -1.143987654178135e-03, 3.616841215004580e-02, 6.812700033190000e-01, -3.558030773955687e-02
38, 7.163653638606285e-04, 1.341517365200784e-01, -1.389827255369740e-01, 1.196335375162331e-03, 3.368613713275131e-02, 6.664699912070000e-01, -3.586116190491984e-02
39, 3.009193059676203e-04, 1.255043519636398e-01, -1.297562999831209e-01, 3.244935204590074e-03, 3.151352345246100e-02, 6.514999866490000e-01, -3.611898348214038e-02
40, 2.476668117810098e-04, 1.175488009071919e-01, -1.212279063035582e-01, 5.036326605486117e-03, 2.951628349987523e-02, 6.363800168040000e-01, -3.635595349963575e-02
41, 2.945075430286687e-04, 1.099653112604141e-01, -1.130610609204237e-01, 6.524917074941296e-03, 2.760917217307696e-02, 6.211299896240000e-01, -3.657441924457958e-02
42, 3.354487496189291e-04, 1.026158262904363e-01, -1.051080904436343e-01, 7.713635095985023e-03, 2.576432310496447e-02, 6.057599782940000e-01, -3.677747779667465e-02
43, 3.289612097221833e-04, 9.555758405476455e-02, -9.743662052779428e-02, 8.532543889855236e-03, 2.399055796218988e-02, 5.902799963950000e-01, -3.696906875666169e-02
44, 3.525451611842482e-04, 8.883441665394395e-02, -9.009554352913700e-02, 8.965392060520039e-03, 2.230430505317473e-02, 5.747100114820000e-01, -3.715391852273627e-02
45, 3.632587184972401e-04, 8.259360629501776e-02, -8.325513774438535e-02, 8.958640119184284e-03, 2.073796281866911e-02, 5.590599775310000e-01, -3.733765253824536e-02
46, 3.756717748959494e-04, 7.697010917850054e-02, -7.706484701804389e-02, 8.519424780515346e-03, 1.932762401375153e-02, 5.433599948880000e-01, -3.752614457995464e-02
47, 3.610361518092416e-04, 7.213683666687169e-02, -7.173035434818394e-02, 7.653285466848674e-03, 1.811820131792654e-02, 5.276100039480000e-01, -3.772573032238435e-02
