"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
18	9.126999974250000e-01	-1.350419218006743e-02	1.027979509490555e+00	9.184557847303109e-01	1.229684501845916e-01	3.018259282142152e+00	1.040241575855528e+00	1.011928317881599e+00	8.982494610608857e-02	7.573434903238705e-01	
19	9.035800099370001e-01	-1.471888107883856e-02	1.024130544160779e+00	9.210419866776821e-01	1.221356051439937e-01	3.008488702448080e+00	1.034816298923015e+00	1.010433977214294e+00	7.771495295315890e-02	7.627659981609559e-01	
20	8.940600156780000e-01	-1.597567084890734e-02	1.019872248227587e+00	9.238609924803221e-01	1.213771651358349e-01	2.997685585444687e+00	1.028807506918249e+00	1.008761154846787e+00	6.430247079966385e-02	7.688096329698882e-01	
21	8.841500282290000e-01	-1.727124932987615e-02	1.015347423871765e+00	9.268102649171552e-01	1.204660215787714e-01	2.986204392900126e+00	1.022424526506921e+00	1.006970129109276e+00	5.005474666723427e-02	7.752500787479373e-01	
22	8.738499879840000e-01	-1.860208263988834e-02	1.010703271111515e+00	9.297660068677659e-01	1.193159413028708e-01	2.974409130112371e+00	1.015884503437964e+00	1.005126363468430e+00	3.545648088831248e-02	7.818484311837698e-01	
23	8.631799817090000e-01	-1.996172083821869e-02	1.006076428895174e+00	9.326618837674847e-01	1.179402068343207e-01	2.962651973397138e+00	1.009374716921724e+00	1.003278367260997e+00	2.092570741456345e-02	7.884305433304806e-01	
24	8.521599769590000e-01	-2.134424091527649e-02	1.001526934465110e+00	9.354256924805210e-01	1.163928668564768e-01	2.951077057637262e+00	1.002988061401711e+00	1.001458899292989e+00	6.669779914532580e-03	7.948812385818632e-01	
25	8.407700061800000e-01	-2.274938939182908e-02	9.970822324161998e-01	9.380512706848839e-01	1.147397186376581e-01	2.939757892639253e+00	9.967593792546789e-01	9.996762020713795e-01	-7.233528449377354e-03	8.011736976384475e-01	
26	8.290500044819999e-01	-2.417010335227802e-02	9.927304011739930e-01	9.405334312237094e-01	1.130185430989228e-01	2.928661153391995e+00	9.906749287158271e-01	9.979294756605268e-01	-2.081489125931456e-02	8.073131734470599e-01	
27	8.170099854470000e-01	-2.560355602429334e-02	9.884583357242157e-01	9.428993285240194e-01	1.112625120405649e-01	2.917759018105742e+00	9.847107925454250e-01	9.962086988967069e-01	-3.412769521110482e-02	8.133369412323640e-01	
