"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
39, 6.514999866490000e-01, -3.571148588583885e-02, 1.000228247127478e+00, 5.094801952627451e-04, 7.824225577104128e-01
40, 6.363800168040000e-01, -3.721157007843977e-02, 9.919908883855969e-01, -1.787748128214977e-02, 7.909372210239949e-01
41, 6.211299896240000e-01, -3.876214102275111e-02, 9.830877209136430e-01, -3.775062296061819e-02, 8.001655966416246e-01
42, 6.057599782940000e-01, -4.034875442093410e-02, 9.738460704901192e-01, -5.837930694169827e-02, 8.097087594347950e-01
43, 5.902799963950000e-01, -4.195690682613341e-02, 9.648600001555727e-01, -7.843749965273947e-02, 8.190641837976925e-01
44, 5.747100114820000e-01, -4.357116390291970e-02, 9.560764213637806e-01, -9.804370231298980e-02, 8.281960639314986e-01
45, 5.590599775310000e-01, -4.517737950629451e-02, 9.462004373711757e-01, -1.200883094393401e-01, 8.382697348802913e-01
46, 5.433599948880000e-01, -4.675973072614145e-02, 9.371447772212178e-01, -1.403018365597817e-01, 8.470851471961535e-01
47, 5.276100039480000e-01, -4.830591743167578e-02, 9.392241063877143e-01, -1.356604768131378e-01, 8.448382064255354e-01
48, 5.118399858470000e-01, -4.980117185979217e-02, 9.541665337765627e-01, -1.023068442487440e-01, 8.294357099481813e-01
49, 4.960500001910000e-01, -5.123415609105724e-02, 9.397507622969214e-01, -1.344849055872289e-01, 8.394321103392965e-01
50, 4.802699983120000e-01, -5.259134488582620e-02, 8.048553161122751e-01, -4.355908122493859e-01, 9.712012203646365e-01
51, 4.645099937920000e-01, -5.386168405171382e-02, 6.325667833225955e-01, -8.201634300834921e-01, 1.189582446531637e+00
52, 4.487800002100000e-01, -5.503466526424326e-02, 5.840985337552312e-01, -9.283514871535017e-01, 1.249673062813333e+00
53, 4.331099987030000e-01, -5.609905147643719e-02, 5.950064898349527e-01, -9.040033709041234e-01, 1.244420700845582e+00
54, 4.174999892710000e-01, -5.704649111300620e-02, 6.094137274230811e-01, -8.718443584306226e-01, 1.223501411402518e+00
55, 4.019699990750000e-01, -5.786800976895751e-02, 6.169379026649690e-01, -8.550493244085515e-01, 1.214546805022643e+00
56, 3.865399956700000e-01, -5.855566177191287e-02, 6.230489523518092e-01, -8.414085885004259e-01, 1.207345075923294e+00
57, 3.712300062180000e-01, -5.910261722335943e-02, 6.311178381731669e-01, -8.233976826491810e-01, 1.197348817383229e+00
58, 3.560400009160000e-01, -5.950368884974754e-02, 6.408566253067670e-01, -8.016593185116808e-01, 1.185397322848740e+00
59, 3.409900069240000e-01, -5.975394865532477e-02, 6.515700829214771e-01, -7.777453506217029e-01, 1.172424664921512e+00
60, 3.261100053790000e-01, -5.984977502918254e-02, 6.631067722460899e-01, -7.519938119506921e-01, 1.158603460306072e+00
