SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
15, 3.354210223758080e-03, 5.881690807571299e-02, -9.613903114726119e-02, -1.565085889121631e-01, 1.652380223904623e-02, 9.375399947170000e-01, -1.310669956224459e-02
16, 4.181309321667354e-03, 5.423464070644773e-02, -9.102340072449314e-02, -1.438354058707825e-01, 1.515619935984314e-02, 9.296900033950000e-01, -1.432871305498288e-02
17, 3.799566468563597e-03, 4.914888872097626e-02, -8.457974797871762e-02, -1.365781663436660e-01, 1.369093997312985e-02, 9.214000105860000e-01, -1.555267765624015e-02
18, 2.943660214474544e-03, 4.704033481473097e-02, -8.122740864232501e-02, -1.334622436815996e-01, 1.299968840734249e-02, 9.126999974250000e-01, -1.680477746404755e-02
19, 2.206520125754383e-03, 4.874732563657828e-02, -8.224728407229773e-02, -1.326435332538139e-01, 1.333564842571550e-02, 9.035800099370001e-01, -1.810537718228381e-02
20, 1.615149633635280e-03, 5.392201531259389e-02, -8.738139539417561e-02, -1.326526231215440e-01, 1.457194571579857e-02, 8.940600156780000e-01, -1.945795700813063e-02
21, 1.217877306876797e-03, 6.154189857240192e-02, -9.547879300771353e-02, -1.325261918125153e-01, 1.645127513487669e-02, 8.841500282290000e-01, -2.085805699730411e-02
22, 1.028300194214416e-03, 7.048794787436261e-02, -1.052396496956595e-01, -1.317784589325793e-01, 1.868578044154973e-02, 8.738499879840000e-01, -2.229775883926623e-02
23, 9.261307395901048e-04, 7.998063052703344e-02, -1.157037147337689e-01, -1.303874965688402e-01, 2.105000405278951e-02, 8.631799817090000e-01, -2.376527010951418e-02
24, 9.341221066713165e-04, 8.941225237098253e-02, -1.261482497542814e-01, -1.284315187388370e-01, 2.340989687201561e-02, 8.521599769590000e-01, -2.525015879516433e-02
25, 9.693030174790986e-04, 9.860411448175367e-02, -1.363257495740269e-01, -1.261316151087211e-01, 2.569918065554846e-02, 8.407700061800000e-01, -2.674936438254776e-02
