"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"
13	9.519400000570000e-01	-1.069805585288936e-02	1.008358810341661e+00	9.215743463480428e-01	1.873993279303715e-01	2.968885467911774e+00	1.012136910123036e+00	1.003746781148364e+00	2.709131723891908e-02	7.867514202436438e-01	
14	9.449599981310000e-01	-1.203593374254841e-02	9.999845461956446e-01	9.308013169371643e-01	1.688317920092517e-01	2.947816015178602e+00	1.000144587000423e+00	1.000160043278056e+00	3.227388402290976e-04	7.994550473555053e-01	
15	9.375399947170000e-01	-1.330848373075709e-02	9.979260609334403e-01	9.347645178193889e-01	1.535309589193659e-01	2.942627096976357e+00	9.972065608925498e-01	9.992790046587047e-01	-6.235355150558536e-03	8.025585631670710e-01	
16	9.296900033950000e-01	-1.454301661459823e-02	9.990353228476611e-01	9.355188038952855e-01	1.431350212824009e-01	2.945373312216997e+00	9.988397356710512e-01	9.998042239627202e-01	-2.589875734260668e-03	8.007092333972015e-01	
17	9.214000105860000e-01	-1.577781452363727e-02	1.000478006536786e+00	9.351582548809209e-01	1.374033739779123e-01	2.948931110426919e+00	1.000977683863142e+00	1.000499438591444e+00	2.182330051655527e-03	7.982577493657751e-01	
18	9.126999974250000e-01	-1.704012941473275e-02	1.000505155803625e+00	9.351418773563419e-01	1.349844278087283e-01	2.948905756709287e+00	1.001110223479915e+00	1.000604762177166e+00	2.478177410523974e-03	7.978859953268594e-01	
19	9.035800099370001e-01	-1.835099437543274e-02	9.985165686919468e-01	9.360813136741918e-01	1.342460448609527e-01	2.943774823161788e+00	9.983901721349355e-01	9.998734156638216e-01	-3.593365770233198e-03	8.004654316876230e-01	
20	8.940600156780000e-01	-1.971405500512455e-02	9.947327447098376e-01	9.380301741660766e-01	1.338923539923678e-01	2.934101968790560e+00	9.931244076386209e-01	9.983831465488897e-01	-1.534730437807843e-02	8.057076075689616e-01	
21	8.841500282290000e-01	-2.112469983860618e-02	9.897108545097454e-01	9.406874819216797e-01	1.331598062947388e-01	2.921286783596643e+00	9.861130617757137e-01	9.963648042075747e-01	-3.099762996492484e-02	8.127781350610841e-01	
22	8.738499879840000e-01	-2.257472249437927e-02	9.840362083388529e-01	9.436775257457840e-01	1.317629233920274e-01	2.906799758243015e+00	9.781964613984362e-01	9.940655161965285e-01	-4.866861294991922e-02	8.207931324276250e-01	
23	8.631799817090000e-01	-2.405202144973124e-02	9.781804591476905e-01	9.467099535131865e-01	1.297292986510169e-01	2.891835001022679e+00	9.700425942435837e-01	9.916806098220391e-01	-6.686920927771486e-02	8.290634046308533e-01	
24	8.521599769590000e-01	-2.554593873753334e-02	9.724212859665299e-01	9.495980547940540e-01	1.272272013385855e-01	2.877093943345976e+00	9.620463117262354e-01	9.893307824602152e-01	-8.471805418251016e-02	8.371705528587832e-01	
