SENS_AOA=0.00376448447144838
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
177, -4.018440943806674e-03, -2.712946568539862e-01, 4.694843967920439e-01, 9.785608808250784e-02, -7.226571388512405e-02, 8.841500282290000e-01, 1.274808198496342e-02
178, -4.621572063642822e-03, -2.838132167894122e-01, 4.897119097853416e-01, 9.455481311551692e-02, -7.559214670469339e-02, 8.940600156780000e-01, 1.131402230927827e-02
179, -5.362033956027245e-03, -2.967685315331450e-01, 5.110202108877605e-01, 9.118051055891220e-02, -7.906378322655935e-02, 9.035800099370001e-01, 9.941071277043606e-03
180, -6.085313970839240e-03, -3.105485453541157e-01, 5.339533801142444e-01, 8.739684041809258e-02, -8.272378426830089e-02, 9.126999974250000e-01, 8.631203889516798e-03
181, -6.808763219749857e-03, -3.249997504521704e-01, 5.583603771577899e-01, 8.285868965713539e-02, -8.661234541305239e-02, 9.214000105860000e-01, 7.394682405463851e-03
182, -7.243117429203290e-03, -3.399648186550444e-01, 5.840513149620330e-01, 7.697460901276768e-02, -9.061414979548153e-02, 9.296900033950000e-01, 6.247446055903863e-03
31, 2.521284247991630e-03, 2.658754050043961e-01, -4.038435763463480e-01, -1.343711634663135e-01, 6.954705098336789e-02, 7.657799720760000e-01, -3.601484346786941e-02
32, 2.547748783561280e-03, 2.732097232323671e-01, -4.107540076680822e-01, -1.307641899037892e-01, 7.134238134910628e-02, 7.522799968720000e-01, -3.749058247868717e-02
33, 2.509430764383028e-03, 2.807772503568493e-01, -4.179676127256942e-01, -1.271472867308366e-01, 7.318980147397264e-02, 7.385200262070000e-01, -3.895236167845945e-02
34, 2.417009697663518e-03, 2.884188559182141e-01, -4.252934198103660e-01, -1.234100828899833e-01, 7.508135860654643e-02, 7.245299816130000e-01, -4.039502846077305e-02
35, 2.218335065607441e-03, 2.962297977849645e-01, -4.328257890846992e-01, -1.196260242991868e-01, 7.699820084912112e-02, 7.103199958800001e-01, -4.181558430795789e-02
36, 2.022803878564836e-03, 3.040954210470487e-01, -4.404385294047197e-01, -1.157017373097297e-01, 7.895396324205421e-02, 6.958900094030001e-01, -4.321200282437160e-02
37, 1.835628203063697e-03, 3.121866305059808e-01, -4.483184611991182e-01, -1.117191823544544e-01, 8.094637804550034e-02, 6.812700033190000e-01, -4.457939202984180e-02
38, 1.874869647531449e-03, 3.203703084117805e-01, -4.563159976115460e-01, -1.075928516500150e-01, 8.298752913059500e-02, 6.664699912070000e-01, -4.591493117552392e-02
39, 1.917132961868099e-03, 3.287466377195215e-01, -4.645309615891736e-01, -1.033991027004151e-01, 8.505803336713891e-02, 6.514999866490000e-01, -4.721584897613838e-02
40, 1.689820873062663e-03, 3.371590425834901e-01, -4.728008979825418e-01, -9.905214213991852e-02, 8.716333772458489e-02, 6.363800168040000e-01, -4.847860537787859e-02
41, 9.268735666433078e-04, 3.456947603514372e-01, -4.812121966917077e-01, -9.461654029762052e-02, 8.928153432079682e-02, 6.211299896240000e-01, -4.969985643094826e-02
42, 3.430727001472695e-04, 3.541760315800330e-01, -4.895674090435249e-01, -9.001224143540253e-02, 9.140733626893821e-02, 6.057599782940000e-01, -5.087717988180450e-02
43, 8.897188560521026e-04, 3.626543578872143e-01, -4.979206957544842e-01, -8.529302797479243e-02, 9.351459735925279e-02, 5.902799963950000e-01, -5.200820227006282e-02
44, 2.062650356764511e-03, 3.710151675947579e-01, -5.061557990446141e-01, -8.041656266215015e-02, 9.560914563658478e-02, 5.747100114820000e-01, -5.308991270259925e-02
45, -2.521130634691577e-04, 3.792543512674373e-01, -5.142741806092304e-01, -7.540937731531003e-02, 9.765947787657660e-02, 5.590599775310000e-01, -5.412011425938942e-02
46, -1.106340988861260e-02, 3.869560711510027e-01, -5.218740425201394e-01, -7.018378296562863e-02, 9.959097761946041e-02, 5.433599948880000e-01, -5.509541526975228e-02
47, -2.916273581196803e-02, 3.934289069146781e-01, -5.282439552082715e-01, -6.466454199928795e-02, 1.012052857861010e-01, 5.276100039480000e-01, -5.601444036852824e-02
48, -3.778760358921105e-02, 3.979506125536703e-01, -5.325716610566621e-01, -5.881408340247826e-02, 1.023210406109520e-01, 5.118399858470000e-01, -5.687408312908572e-02
49, -7.287302353758047e-03, 4.009247650356488e-01, -5.352183174880062e-01, -5.275891274101071e-02, 1.030317263203218e-01, 4.960500001910000e-01, -5.767299480535527e-02
50, 7.770868081932651e-02, 4.047448479009399e-01, -5.387237531119563e-01, -4.675823370258322e-02, 1.039593231563701e-01, 4.802699983120000e-01, -5.840831759526514e-02
51, 1.660619610825381e-01, 4.127896236969293e-01, -5.466476063245878e-01, -4.127349416411437e-02, 1.059674845078288e-01, 4.645099937920000e-01, -5.907829620765692e-02
52, 1.495446263960249e-01, 4.263966829624554e-01, -5.600464463434376e-01, -3.617522982346490e-02, 1.094754410432244e-01, 4.487800002100000e-01, -5.968114161705675e-02
